"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"426",NA,"PAIN",17511,"H0P-MC-CPMP","Multi-Compound Pain (LY900028)","II","9450","0",1,33,2020-01-24,2020-01-30,2020-05-29,2020-05-29,2027-04-25,NA,2027-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","CT-EXP",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Pain Master Protocol",NA,"LLY900028","Kimberly A Melnick","Veeva eDC/DMW","Lilly LCC/LCCI (ICON Transition)","Michelle L Byrd","Liji Anthem Veettil","Transitioned from ICON on 27 Dec 2021.","Y"
"427",NA,"AIIMIN",16441,"I4V-MC-B003","Baricitinib","IV","8000","0",1,1,2018-08-01,2018-12-03,NA,2018-07-31,2030-12-31,NA,NA,NA,NA,NA,2031-02-28,NA,2031-12-31,NA,NA,NA,"CRO","COR","COR","PMNIEU","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"US_EU RA Long-Term Safety Study",NA,"LLY3009104","Marisa Alamillo","EDC Other","Project Sourced","Marta Herrera",NA,"GPS study CLDS provide LSS reports and consultancy","N"
"428",NA,"ONC",18441,"J2N-MC-E003","LOXO-305 (LY3527727)","II","30",NA,1,1,NA,NA,2022-10-06,NA,2025-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US","US","EXIST","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Ph II Pirto w/ Ven in relapsed refractory MCL","Not Critical","LLY3527727",NA,NA,NA,NA,NA,NA,NA
"429",NA,"ONC",18440,"J2N-MC-E002","LOXO-305 (LY3527727)","II","46","0",1,1,NA,NA,2022-10-06,NA,2025-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US","US","EXIST","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Ph II Pirto in Waldenstrom Macrogloblulinema int BTK Inhib","Not Critical","LLY3527727",NA,NA,NA,NA,NA,NA,NA
"430",NA,"AIIMIN",16453,"I4V-MC-B004","Baricitinib","IV","9000",NA,1,230,2018-10-19,2018-12-06,NA,NA,NA,NA,NA,NA,NA,NA,2030-12-31,NA,2031-12-31,NA,NA,NA,"CRO","COR","COR","PMNIEU",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"GPS RA EMR Claims Retropsective Obs Study",NA,"LLY3009104","Not Supported",NA,NA,NA,NA,"retrospective study","N"
"431",NA,"ONC",18439,"J2N-MC-E001","LOXO-305 (LY3527727)","II","44","0",1,1,NA,NA,2022-10-06,NA,2027-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US","US","EXIST","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Ph II Pirto Consolidation MRD Eradication in CLL/SLL w/Ven","Not Critical","LLY3527727",NA,NA,NA,NA,NA,NA,NA
"432",NA,"ONC",18434,"J1S-MC-JP04","Multi-Compound Pediatrics (LY900023)","II","47","0",7,29,2022-01-04,2022-01-20,2022-08-15,NA,2026-04-01,NA,2025-05-01,NA,2025-06-02,NA,2026-05-01,NA,2026-08-01,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Ph2-Abema+TMZ+IRN vs TMZ+IRN-Ewings Sarcoma","Critical","LLY900023","Dana Renae Lane","Veeva eDC","Lilly LCC/LCCI","Vijayta Joshi","Yajnadutta Kamila,
Ramakrishnan K.K.,
Durga Sharma&quot;
","this is a cohort on the Peds Master - JAAA.","N"
"433",NA,"AIIMIN",16491,"I6T-MC-AMAH","IL-23 Antibody II (LY3074828)","III","1734","1949",17,313,2018-03-22,2018-03-30,2018-10-02,2018-09-03,2022-01-27,2022-02-07,2022-01-27,2022-02-07,2022-03-25,NA,2022-03-25,NA,2022-05-06,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Last Patient Visit",NA,NA,NA,NA,NA,NA,NA,"LTE for Psoriasis","Not Critical","LLY3074828","Sridevi N","InForm/DMW","Lilly LCCI only (ICON Transition)","Subhankar Guha Majumdar","Bhanuja C.V

Srija Shridhar","CDA Transition to LCCI Feb 21, ICON to LCCI Aug 25
Ryan Crosbie was last CDA.  Final DB Lock achieved on 28Mar2022.","Y"
"434",NA,"AIIMIN",16492,"I6T-MC-AMAG","IL-23 Antibody II (LY3074828)","II","180","151",16,128,2016-07-20,2016-07-21,2016-12-14,2016-12-14,2021-02-15,2021-02-05,2019-09-27,2018-12-11,NA,2019-01-18,2021-04-01,2021-03-31,2021-11-22,2021-11-02,NA,NA,"QUI","QUI","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Phase II Crohn's study in patients","Critical","LLY3074828","Stacey E Reel","InForm","IQVIA","Nelson Wong","Debra Schneider","FDBL 31Mar2021","Y"
"435",NA,"AIIMIN",16367,"I1F-MC-RHCD","Ixekizumab","III","195","201",12,90,2016-11-30,2016-11-30,2017-03-28,2017-03-28,2021-03-23,2021-03-23,2019-02-07,2019-02-07,2019-03-21,2019-03-21,2021-05-12,2021-05-12,2021-10-13,2021-10-12,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Ixekizumab Pediatric Psoriasis Efficacy Safety Study","Critical","LLY2439821","Sridevi N","InForm/DMW","Lilly LCCI only (Syneos Transition)","Vivek Urs","Vivek Urs","Study transitioned from Syneos to Lilly on 22 May 2020
Study  supported by LCC/LCCI 
",NA
"436",NA,"AIIMIN",16497,"I1F-MC-B005","Ixekizumab","IV","1200",NA,1,1,2016-10-19,2016-09-30,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-30,NA,2022-10-31,NA,NA,NA,"HCI","HCI","COR","PMNIEU",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Assess Maternal & Fetal Outcomes Post Exp to Ixekizumab",NA,"LLY2439821","Not Supported",NA,NA,NA,NA,NA,NA
"437",NA,"ONC",18433,"J1S-MC-JP03","Multi-Compound Pediatrics (LY900023)","II","45",NA,7,24,2022-11-09,NA,2023-04-07,NA,2026-07-26,NA,2025-12-14,NA,2026-01-13,NA,2026-08-25,NA,2026-11-23,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Ph2-Radiotherapy+Abema+TMZ vs Radiotherapy+TMZ-HGG","Critical","LLY900023","Dana Renae Lane","Veeva eDC/CDB","Lilly LCC/LCCI","Vijayta Joshi",NA,"this is a cohort on the Peds Master - JAAA.   While the previous 2 cohorts JV01 and JV02 were built with Inform, this will be built in Veeva and then implemented when rest of trial migrates from Inform to Veeva in 2022",NA
"438",NA,"ONC",18429,"J4C-OX-JZUC","PI3K Selective (LY3849524)","I","10",NA,1,1,2022-10-01,NA,2022-11-05,NA,2023-08-01,NA,NA,NA,NA,NA,2023-10-01,NA,2023-12-01,NA,NA,NA,"COV","COV","PRO","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"LOXO-PIK-22003-Ph1-PI3K Pilot FE w/ possible PPI","Not Critical","LLY3849524","Lox Manager",NA,NA,NA,NA,NA,NA
"439",NA,"AIIMIN",16534,"I4V-JE-B005","Baricitinib","IV","4500","4700",1,1500,2017-05-15,2017-07-27,2017-06-30,2017-09-01,2022-04-30,NA,2020-01-31,NA,2020-12-31,NA,2023-04-30,NA,2023-11-30,NA,NA,NA,"JP","JP","JP","PMSNI1","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Phase 4 RA Safety","Not Critical","LLY3009104","Yuko Ochiai","Medidata Rave","EPS Associates Co.,Ltd.","Isamu Tamura",NA,"Jaspan PMS study, EDC and Paper",NA
"440",NA,"ONC",18428,"J4C-OX-JZUB","PI3K Selective (LY3849524)","I","24",NA,1,1,2022-09-01,NA,2022-10-20,NA,2023-06-15,NA,NA,NA,NA,NA,2023-08-15,NA,2023-11-15,NA,NA,NA,"COV","COV","PRO","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"LOXO-PIK-2X002-Ph1-PI3K CYP3A4 Inhib/Inducer","Not Critical","LLY3849524","Lox Manager",NA,NA,NA,NA,NA,NA
"441",NA,"ONC",18427,NA,"KRAS G12C II (LY3537982)","I","10",NA,1,1,2022-07-01,NA,2022-10-01,NA,2023-05-15,NA,NA,NA,NA,NA,2023-07-15,NA,2023-09-15,NA,NA,NA,"COV","COV","LOX","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"LOXO-KRA-220XX-Ph1-KRAS-Pilot FE","Not Critical","LLY3537982",NA,NA,NA,NA,NA,NA,NA
"442",NA,"ONC",18426,NA,"KRAS G12C II (LY3537982)","I","24",NA,1,1,2022-08-01,NA,2022-09-01,NA,2023-06-15,NA,NA,NA,NA,NA,2023-08-15,NA,2023-11-15,NA,NA,NA,"COV","COV","LOX","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"LOXO-KRA-220XX-Ph1-KRAS-CYP3A4 Inhib/Inducer","Not Critical","LLY3537982",NA,NA,NA,NA,NA,NA,NA
"443",NA,"ONC",18425,NA,"IDH1 Inhibitor Effort II (LY3410738)","I","48",NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICC","ICC","PRO","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"LOXO-IDH-22013-Ph1-IDH1-Cocktail in Pts","Not Critical","LLY3410738",NA,NA,NA,NA,NA,NA,NA
"444",NA,"ND",18466,"J4B-MC-OKAA","PR006 (LY3884963)","I/II","15","1",6,9,2019-11-13,2013-11-13,2020-11-12,2020-07-20,2024-04-30,NA,2023-05-31,NA,NA,NA,2028-05-31,NA,NA,NA,NA,NA,"IE","IE","IE","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"PRV-FTD-101; Ph 1/11 PR006A FTD","Critical","LLY3884963",NA,NA,NA,NA,NA,NA,NA
"445",NA,"AIIMIN",16498,"I4V-MC-JAHI","Baricitinib","NOPHASE","18","0",1,1,2003-04-23,2003-04-23,2003-04-23,2011-10-25,2022-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","PMSNI1","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"NIH Natural History Study-Outcome Autoinflammatory Diseases","Not Critical","LLY3009104","Not Supported",NA,NA,NA,NA,NA,NA
"446",NA,"PAIN",17513,"H0P-MC-OA01","Multi-Compound Pain (LY900028)","II","125","117",1,33,2020-01-29,2020-01-30,2020-06-29,2020-07-01,2022-09-30,2021-08-26,2021-04-23,2021-04-22,2021-05-13,2021-05-13,2022-10-17,NA,2022-01-14,2022-01-27,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Intervention Specific Appendix - OA",NA,"LLY900028","Kimberly A Melnick","Veeva eDC/DMW","Lilly LCC/LCCI (ICON Transition)","Michelle L Byrd, Tracy Kasten","Liji Anthem Veettil","Transitioned from ICON on 27 Dec 2021.","Y"
"447",NA,"ONC",18448,"I3Y-MC-JPEG","Abemaciclib","III","900","1",26,270,2022-02-01,2022-02-01,2022-04-22,2022-04-14,2027-10-01,NA,2025-10-01,NA,2025-11-03,NA,2027-11-01,NA,2028-02-28,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph3-Abemaciclib-mHSPC","Critical","LLY2835219",NA,NA,NA,NA,NA,NA,"N"
"448",NA,"ONC",18474,"J2N-MC-E004","LOXO-305 (LY3527727)","II","45","0",1,3,NA,NA,2022-10-06,NA,2027-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"PH2 Pirto+Ven MRD guided CLL","Not Critical","LLY3527727",NA,NA,NA,NA,NA,NA,NA
"449",NA,"PAIN",17131,"H8H-MC-LAIJ","lasmiditan","IIIB","1600","1806",17,142,2018-05-07,2018-05-07,2019-06-20,2019-06-24,2021-07-16,2021-07-08,2020-05-30,2020-06-12,2020-06-15,2020-07-27,2021-08-16,2021-08-09,2021-10-15,2021-10-29,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Consistency Trial- ME2 China","Critical","LLY573144","Kimberly A Melnick","InForm/DMW","ICON (Process)","Kanvass White McManus",NA,NA,"Y"
"450",NA,"AIIMIN",16020,"I1F-MC-RHBT","Ixekizumab","IV","8000","2521",1,1,2017-03-06,2015-02-24,2017-03-06,2016-04-20,2028-03-06,NA,NA,NA,NA,NA,2028-05-06,NA,2028-11-06,NA,NA,NA,"CRR","CRR","COR","PMNIEU","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ixekizumab North American Registry","Not Critical","LLY2439821","Sridevi N","Medidata Rave","CORONA","Kori M Reintjes",NA,NA,NA
"451",NA,"PAIN",16930,"H8H-MC-LAHW","lasmiditan","III","1000","253",15,180,2019-11-30,2019-12-02,2020-07-27,2020-06-30,2025-11-03,NA,2025-11-03,NA,2025-12-03,NA,2025-12-03,NA,2026-03-03,NA,NA,NA,"COR","COR","COR","CTCONF",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph 3 OLT Safety Trials with Lasmiditan in Children","Critical","LLY573144","Kimberly A Melnick","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Robin Moschel Kinnick, Angela K Banks","Saisudha K","Study has eCOA - which is Cogstate CBB. Study has been transitioned from ICON to Lilly during study execution on 10 Sep 2021","N"
"452",NA,"PAIN",16927,"H8H-MC-LAHV","lasmiditan","III","1633","416",19,180,2019-11-30,2019-12-02,2020-06-15,2020-06-15,2025-01-31,NA,2024-06-28,NA,2025-02-03,NA,2025-02-03,NA,2025-04-30,NA,NA,NA,"COR","COR","COR","CTCONF",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph3 Lasmiditan vs Placebo in Peds and Adolescents","Critical","LLY573144","Kimberly A Melnick","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Angela K Banks, Robin Moschel Kinnick","Raj Sapkal","study has been transitioned from ICON to Lilly during study execution on 10 Sep 2021","Y"
"453",NA,"AIIMIN",16181,"I1F-MC-RHBY","Ixekizumab","III","750","773",22,175,2016-08-26,2016-08-26,2017-05-10,2017-05-09,2021-09-27,2021-05-27,2020-05-22,2020-05-26,2020-06-21,2020-06-22,2021-10-27,2021-07-16,2022-01-31,2021-10-13,NA,NA,"COR","QUI","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Ph3 AS & nr-axSpA Long Term Extension","Critical","LLY2439821","Sridevi N","InForm/DMW","Lilly LCCI only (Syneos Transition)","Phanesh T.S","Phanesh T.S","Transitioned from Syneos to Lilly on Jul 10, 2020","Y"
"454",NA,"ND",18505,"J3Z-MC-OJAE","PR001 (LY3884961)","I/II","21",NA,7,10,2021-11-17,2022-04-06,2022-08-01,NA,2030-10-02,NA,2027-03-22,NA,NA,NA,2030-12-26,NA,NA,NA,NA,NA,"IE","IE","IE","CT-EXP","Corporate","No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"PRV-GD-101; Ph 1/11 PR001 GD","Critical","LLY3884961",NA,NA,NA,NA,NA,NA,NA
"455",NA,"ND",18493,"I5T-MC-B002","Donanemab (LY3002813)","II/III","200",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","PMSNI2",NA,"No","Created",NA,NA,NA,NA,NA,NA,NA,"P-tau Non-Interventional Study",NA,"LLY3002813",NA,NA,NA,NA,NA,NA,NA
"456",NA,"ND",18472,"J3Z-MC-OJAB","PR001 (LY3884961)","I/II","15","0",2,4,2019-06-05,2020-08-12,2021-06-29,2021-06-29,2025-01-20,NA,2025-01-20,NA,NA,NA,2029-01-23,NA,NA,NA,NA,NA,"CRO","COR","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"PRV-GD2-101 Ph I/II PR001A GD2","Critical","LLY3884961",NA,NA,NA,NA,NA,NA,NA
"457",NA,"ONC",18459,"J2J-MC-JZLH","Selective Estrogen Receptor Degrader  (LY3484356)","III","6000","0",30,600,2022-06-07,2022-06-15,2022-10-03,NA,2031-11-03,NA,NA,NA,NA,NA,NA,NA,2032-03-03,NA,NA,NA,"COR","COR","COR","CTCONF",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Imlunestrant Adjuvant Trial in ER+HER- Early Breast Cancer",NA,"LLY3484356",NA,NA,NA,NA,NA,NA,"Y"
"458",NA,"AIIMIN",16245,"I1F-JE-RHCB","Ixekizumab","IV","740","827",1,1,2016-03-15,2016-03-23,2016-11-22,2016-11-22,2022-09-30,NA,NA,NA,NA,NA,2023-04-30,NA,2024-01-31,NA,NA,NA,"JP","JP","JP","PMSNI1","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Post-marketing safety study of IXE for long term use Japan",NA,"LLY2439821","Yuko Ochiai","Paper - Other","EPS Associates Co.,Ltd.","Hiroto Kawakami",NA,NA,NA
"459",NA,"AIIMIN",16275,"I4V-MC-JAHU","Baricitinib","III","103","19",17,65,2019-04-17,2019-04-17,2020-02-14,2020-02-12,2025-10-27,NA,2025-10-27,NA,2025-11-25,NA,2025-11-25,NA,2026-02-23,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"sJIA pediatric trial","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Vivek Urs","Pradnya Kulkarni","Study transitioned to Lilly on Trial execution phase. Transitioned on 13 May 2021","Y"
"460",NA,"AIIMIN",16276,"I4V-MC-JAHV","Baricitinib","III","197","201",20,90,2018-07-05,2018-07-05,2018-12-17,2018-12-17,2022-01-27,2022-01-26,2022-01-27,2022-01-26,2022-03-16,2022-03-16,2022-03-16,2022-03-16,2022-06-10,2022-06-11,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Polyarticular JIA trial","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Ashish Pawar","Pradnya Kulkarni",NA,"Y"
"461",NA,"AIIMIN",16277,"I4V-MC-JAHW","Baricitinib","III","40","26",5,23,2019-03-06,2019-03-05,2019-10-31,2019-10-16,2028-07-21,NA,2023-06-30,NA,2023-08-01,NA,2028-08-21,NA,2028-11-20,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Pediatric Uveitis trial","Not Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Ashish Pawar","Pradnya Kulkarni",NA,"Y"
"462",NA,"AIIMIN",16278,"I4V-MC-JAHX","Baricitinib","III","208","207",20,80,2018-07-18,2018-07-12,2019-04-02,2019-04-05,2027-12-06,NA,2027-12-06,NA,2028-01-05,NA,2028-01-05,NA,2028-04-04,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"JIA Open label extension trial","Not Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCCI only (ICON Transition)","Vivek Urs","Pradnya Kulkarni","Study transitioned to Lilly on Trial execution phase. Transitioned on 12 May 2021","Y"
"463",NA,"ND",18467,"J1G-MC-LAKC","N3pG-Abeta Antibody IV (LY3372993)","III","800","0",2,83,2022-07-01,2022-06-25,2022-08-01,NA,2025-11-15,NA,2024-08-05,NA,NA,NA,NA,NA,2026-05-15,NA,NA,NA,"COR","COR","COR","CTCONF",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"N3PG IV Phase 3 Plaque Lowering",NA,"LLY3372993",NA,NA,NA,NA,NA,NA,"Y"
"464",NA,"ONC",18613,"I9Y-MC-JDHN","IDH1 Inhibitor Effort II (LY3410738)","III","250",NA,12,100,2022-10-01,NA,NA,NA,2025-08-28,NA,NA,NA,NA,NA,NA,NA,2026-02-28,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Ph3-IDH+Gem+Cis vs Pla+Gem+Cis-Cholangiocarcino","Critical","LLY3410738",NA,NA,NA,NA,NA,NA,NA
"465",NA,"ONC",18612,"J3M-MC-JZQB","KRAS G12C II (LY3537982)","III","625",NA,35,250,NA,NA,2022-11-01,NA,2026-05-15,NA,2025-07-15,NA,2025-08-15,NA,2026-06-15,NA,2026-09-15,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Ph3-KRAS G12C+pembrolizumab-NSCLC","Critical","LLY3537982",NA,NA,NA,NA,NA,NA,"Y"
"466",NA,"ONC",18510,"J2N-MC-E005","LOXO-305 (LY3527727)",NA,"40",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US","US","EXIST",NA,"No","Created",NA,NA,NA,NA,NA,NA,NA,"Time limited Combo Pirto+Ven+Obi Treatment naive CLL or RT",NA,"LLY3527727",NA,NA,NA,NA,NA,NA,NA
"467",NA,"ND",18468,"J1G-MC-LAKD","N3pG-Abeta Antibody IV (LY3372993)","III","2600","0",15,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"N3PG IV Phase 3 Clinical Efficacy","Critical","LLY3372993",NA,NA,NA,NA,NA,NA,"Y"
"468",NA,"AIIMIN",17291,"I9S-MC-BTAC","BTLA Agonist Antibody (LY3361237)","IB","24","21",3,6,2020-11-17,2020-11-17,2021-07-28,2021-07-27,2023-02-24,NA,2023-02-24,NA,2023-05-05,NA,2023-05-05,NA,2023-06-30,NA,NA,NA,"COR","COR","PRX","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Proof of Signal Psoriasis Pts","Not Critical","LLY3361237","Christopher N Helton","Medidata Rave","COVANCE","Wendy Sorg",NA,NA,NA
"469",NA,"DIAB",18395,"I8F-MC-GPIH","GIP/GLP-1 Coagonist Peptide II (LY3298176)","IV","250","0",6,43,2022-07-01,2022-07-01,2022-12-08,NA,2024-07-04,NA,2024-06-06,NA,2024-08-15,NA,2024-08-15,NA,2024-12-19,NA,NA,NA,"COR","COR","COR","CTTHER",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Switch from GLP-1 RA to TZP",NA,"LLY3298176",NA,NA,NA,NA,NA,NA,"Y"
"470",NA,"AIIMIN",17789,"J2T-DM-KGAA","Lebrikizumab (LY3650150)","III","1065","1167",18,370,2020-03-31,2020-03-27,2020-06-15,2020-06-15,2024-09-27,NA,2024-09-27,NA,2024-10-28,NA,2024-10-28,NA,2025-01-23,NA,NA,NA,"SYE","MED","COR","CTCONF","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Long-term Extension Study","Critical","LLY3650150","Kim King","Medidata Rave","Syneos (Project)","Kimberly K King, Swati Patel",NA,NA,NA
"471",NA,"ONC",17677,"J2N-OX-JZNI","LOXO-305 (LY3527727)","I","52","30",1,1,2021-01-01,2020-12-01,2020-12-15,2020-12-15,2021-04-02,2021-04-02,2021-03-28,NA,2021-06-02,NA,2021-06-30,2021-06-02,2021-09-20,2021-09-20,NA,NA,"COV","COV","PRO","CT-EXP","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"LOXO-BTK-20011-Ph1-Pirtobrutinib-CQT","Critical","LLY3527727","Lox Manager",NA,NA,"Lox CDA",NA,NA,NA
"472",NA,"AIIMIN",18248,"J1V-MC-BT01","Multi-Compound SLE (LY900024)","II","90","14",8,50,2021-06-21,2021-06-21,2022-02-28,2022-02-17,2024-04-15,NA,2024-01-15,NA,2024-02-14,NA,2024-05-14,NA,2024-08-12,NA,NA,NA,"COR","US","US","CT-EXP","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Appendix 1 of Master Protocol for BTLA","Critical","LLY900024","Shabnam Chowdhury","Veeva eDC/DMW","Lilly LCC/LCCI","Dori Smith","Amrutha V C","Appendix 1 of Master protocol IMMA","Y"
"473",NA,"AIIMIN",17455,"I1F-GH-B013","Ixekizumab","IV","600","0",1,30,2020-02-29,2020-02-29,2020-09-14,2020-08-31,2022-06-06,NA,NA,NA,NA,NA,2022-08-05,NA,2022-10-28,NA,NA,NA,"COR","COR","COR","PMSNI1",NA,"No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"A Prospective Observational Study to Assess Safety of Ixekiz",NA,"LLY2439821",NA,NA,NA,NA,NA,NA,NA
"474",NA,"AIIMIN",18253,"I4V-MC-KHAB","Baricitinib","III","24","3",8,22,2021-05-05,2021-05-05,2021-12-17,2021-12-21,2023-08-30,NA,2023-07-14,NA,NA,NA,2023-09-29,NA,2024-01-31,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Baricitinib in Children with COVID-19","Critical","LLY3009104","Shabnam Chowdhury","Veeva eDC/DMW","Lilly LCC/LCCI","Dori Smith",NA,NA,NA
"475",NA,"ONC",17676,"J2N-OX-JZNH","LOXO-305 (LY3527727)","I","14","10",1,1,2020-02-04,2020-01-13,2020-02-06,2020-02-06,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-06-05,2020-06-04,2020-06-05,2020-06-04,2020-09-10,2021-09-09,NA,NA,"COV","COV","PRO","CT-EXP","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"LOXO-BTK-20014-Ph1-Pirtobrutinib-Pilot Food Effect","Critical","LLY3527727","Lox Manager",NA,NA,"Lox CDA",NA,NA,NA
