"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"915","Archive","ONC",16847,"I9L-MC-JZCB","IDO1 Inhibitor (LY3381916)","I","8","0",1,1,2021-04-11,NA,2021-08-01,NA,2021-09-05,NA,2021-09-05,NA,2021-10-31,NA,2021-10-31,NA,2022-02-20,NA,NA,NA,"BOS","COR","PRB","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2020-03-11,NA,NA,NA,NA,NA,NA,"C14 Micro-Dose Study","Not Critical","LLY3381916",NA,NA,NA,NA,NA,NA,NA
"916","Archive","ONC",16799,"I9P-MC-JKDA","TGFb RII (TR1) II (LY3376674)","I","126",NA,5,12,2018-01-23,NA,2018-06-15,NA,2021-09-10,NA,NA,NA,NA,NA,2021-10-11,NA,2021-12-07,NA,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2017-12-14,NA,NA,NA,NA,NA,NA,"Ph I - Tgfb RII (TR1) II - Solid Tumors","Critical","LLY3376674","Gregory M Bauman","InForm/Clintrial (CDR)","inVentiv Clinical Solutions (Process)","Nuvala T. Fomban",NA,NA,NA
"917","Archive","ONC",16786,"I9L-MC-JZCA","IDO1 Inhibitor (LY3381916)","I","175","60",5,15,2017-08-02,2017-08-02,2017-11-17,2017-11-17,2020-05-07,2020-05-04,2020-02-07,2020-02-07,2020-03-11,2020-03-17,2020-03-20,2020-07-07,NA,2020-08-26,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"FHD - Ph I - ID01 Inhib - Solid Tumors","Critical","LLY3381916","Dana Renae Lane","InForm/DMW","ICON (Process)","Tom Kim",NA,"Study Assigned to HRIvera and RSingh 4/2017. N Batorski DS.",NA
"918","Archive","ONC",16759,"I4T-MC-JVDR","Ramucirumab","II","60",NA,10,35,2018-10-05,NA,2019-04-05,NA,2022-09-19,NA,2021-09-19,NA,2021-10-19,NA,2022-10-19,NA,2022-12-19,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2018-11-01,NA,NA,NA,NA,NA,NA,"Ph II - Ramucirumab PEDIATRIC Trial - Solid Tumors","Critical","LLY3009806",NA,NA,"Process Sourced (iVC, ICON or QUI)",NA,NA,NA,"N"
"919","Archive","ONC",16738,"I5B-MC-B001","Olaratumab","IV","3180",NA,3,0,2017-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-29,NA,2025-12-28,NA,NA,NA,"COR","COR","COR","PMNIEU",NA,"Yes","Trial Cancelled - Created",2017-12-14,NA,NA,NA,NA,NA,NA,"Ph IV - Olaratumab - Soft Tissue Sarcoma",NA,"LLY3012207",NA,NA,NA,NA,NA,NA,NA
"920","Archive","ONC",16732,"H3E-MC-B027","Pemetrexed","IV","100","77",1,5,2016-03-16,2016-03-16,2016-03-30,2016-04-15,2017-03-30,NA,NA,NA,NA,NA,2017-06-30,2017-04-28,2017-09-15,2017-09-28,NA,NA,"HEA","COR","COR","PMSNI2","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"2016-4207:Pt&PhysDecisionMaking&Attitudes-NSCLC-PtSvy","Not Critical","LLY231514",NA,NA,NA,NA,NA,NA,NA
"921","Archive","ONC",16712,"I4D-MC-JTJN","Prexasertib","II","180","173",9,54,2017-11-15,2017-11-20,2018-04-12,2018-04-10,2020-10-03,2020-10-03,2019-05-31,2019-06-03,2019-07-17,2019-07-19,2020-10-30,2021-02-11,2020-10-30,2020-02-05,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Ph II Prexasertib Ovarian","Critical","LLY2606368","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (Syneos Transition)","Pooja Singh","Pooja Singh","Transitioned to Lilly on Trial execution on 5 Aug 2020. Study fully supported from LCCI. CDA prior to transition to LCCI was Kelli Newcomer","Y"
"922","Archive","ONC",16519,"I4D-MC-E005","Prexasertib","I","18","17",1,1,2017-10-16,2017-10-17,2018-06-05,2018-06-05,2021-04-30,2020-10-06,NA,NA,NA,NA,NA,NA,2021-09-30,2021-03-22,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph I - Chk-1 Inhib II + PD-L1 Ab - Adv Solid Tumors","Not Critical","LLY2606368",NA,NA,NA,NA,NA,NA,NA
"923","Archive","ONC",16518,"I4D-MC-E004","Prexasertib","I","24","29",1,1,2016-08-22,2016-08-25,2017-03-15,2017-03-29,2020-07-15,2020-02-13,NA,NA,NA,NA,NA,NA,2021-01-15,2021-03-22,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph I - Chk-1 Inhib II + Olaparib - Adv Solid Tumors","Not Critical","LLY2606368",NA,NA,NA,NA,NA,NA,NA
"924","Archive","ONC",16476,"I3O-GH-JSBI","Merestinib","II","45",NA,1,3,2016-08-15,2016-07-27,2019-03-31,NA,2021-07-18,NA,2021-07-18,NA,NA,NA,2021-09-21,NA,2022-02-04,NA,NA,NA,"CN","ICC","PRO","CT-EXP","Corporate","Yes","Trial Cancelled - Protocol Approved",2019-09-17,NA,NA,NA,NA,NA,NA,"CN_Ph II - Merestinib - NSCLC (Harboring NTRK Fusion)","Not Critical","LLY2801653","Xiao Dan Qi","InForm/Clintrial (CDR)","ICON (Process)","XIAO DAN QI","Jai Ramakrishnan","trial cancelled",NA
